Key,English,Russian
challenge25ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий байкер - [228B22]5 \n[CD7F32]Дикий Том Кларк - [228B22]5 \n[CD7F32]Дикий зараженный выживший - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий байкер - [228B22]5 \n[CD7F32]Дикий Том Кларк - [228B22]5 \n[CD7F32]Дикий зараженный выживший - [228B22]5"

challenge26Zombie,"Испытание 26: Бродяги и акробаты","Испытание 26: Бродяги и акробаты"
challenge26ZombieDesc,"Испытание: Бродяги и акробаты.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Бродяги и акробаты.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge26ZombieName,"Бродяги и акробаты","Бродяги и акробаты"
challenge26ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge26ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Упырь - [228B22]3 \n[CD7F32]Дикий упырь - [228B22]3 \n[CD7F32]Облученный упырь - [228B22]1 \n[CD7F32]Дикий паук - [228B22]8","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Упырь - [228B22]3 \n[CD7F32]Дикий упырь - [228B22]3 \n[CD7F32]Облученный упырь - [228B22]1 \n[CD7F32]Дикий паук - [228B22]8"

challenge27Zombie,"Испытание 27: Торговая Федерация","Испытание 27: Торговая Федерация"
challenge27ZombieDesc,"Испытание: Торговая Федерация.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Торговая Федерация.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge27ZombieName,"Торговая Федерация","Торговая Федерация"
challenge27ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge27ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Облученный бизнесмен - [228B22]5 \n[CD7F32]Дикий бизнесмен - [228B22]5 \n[CD7F32]Облученный разнорабочий-зомби - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Облученный бизнесмен - [228B22]5 \n[CD7F32]Дикий бизнесмен - [228B22]5 \n[CD7F32]Облученный разнорабочий-зомби - [228B22]5"

challenge28Zombie,"Испытание 28: Лет ми спик фром май харт","Испытание 28: Лет ми спик фром май харт"
challenge28ZombieDesc,"Испытание: Лет ми спик фром май харт.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Лет ми спик фром май харт.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge28ZombieName,"Лет ми спик фром май харт","Лет ми спик фром май харт"
challenge28ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge28ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Разрушение - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Разрушение - [228B22]5"

challenge29Zombie,"Испытание 29: Голова в безопасности","Испытание 29: Голова в безопасности"
challenge29ZombieDesc,"Испытание: Трое из ларца.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Трое из ларца.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge29ZombieName,"Голова в безопасности","Голова в безопасности"
challenge29ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge29ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Облученный солдат - [228B22]5 \n[CD7F32]Дикий солдат - [228B22]5 \n[CD7F32]Дикий разнорабочий-зомби - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Облученный солдат - [228B22]5 \n[CD7F32]Дикий солдат - [228B22]5 \n[CD7F32]Дикий разнорабочий-зомби - [228B22]5"

challenge30Zombie,"Испытание 30: Каким был, таким и остался","Испытание 30: Каким был, таким и остался"
challenge30ZombieDesc,"Испытание: Каким был, таким и остался.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Каким был, таким и остался.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge30ZombieName,"Каким был, таким и остался","Каким был, таким и остался"
challenge30ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge30ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Облученный коп - [228B22]5 \n[CD7F32]Дикий тлеющий зомби - [228B22]5 \n[CD7F32]Дикий зараженный выживший - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Облученный коп - [228B22]5 \n[CD7F32]Дикий тлеющий зомби - [228B22]5 \n[CD7F32]Дикий зараженный выживший - [228B22]5"

challenge31Zombie,"Испытание 31: Набежать и не сбежать","Испытание 31: Набежать и не сбежать"
challenge31ZombieDesc,"Испытание: Набежать и не сбежать.\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!","Испытание: Набежать и не сбежать.\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!"
challenge31ZombieName,"Набежать и не сбежать","Набежать и не сбежать"
challenge31ZombieSubtitle,"Зачистите локацию","Зачистите локацию"
challenge31ZombieOffer,"Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!","Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!"

challenge32Zombie,"Испытание 32: Битва за будущее","Испытание 32: Битва за будущее"
challenge32ZombieDesc,"Испытание: Битва за будущее.\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!","Испытание: Битва за будущее.\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!"
challenge32ZombieName,"Битва за будущее","Битва за будущее"
challenge32ZombieSubtitle,"Зачистите локацию","Зачистите локацию"
challenge32ZombieOffer,"Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!","Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!"

challenge33Zombie,"Испытание 33: Выхожу я к зомби на охоту","Испытание 33: Выхожу я к зомби на охоту"
challenge33ZombieDesc,"Испытание: Выхожу я к зомби на охоту.\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!","Испытание: Выхожу я к зомби на охоту.\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!"
challenge33ZombieName,"Выхожу я к зомби на охоту","Выхожу я к зомби на охоту"
challenge33ZombieSubtitle,"Зачистите локацию","Зачистите локацию"
challenge33ZombieOffer,"Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!","Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!"

challenge34Zombie,"Испытание 34: В крови по грудь, мы бьёмся с мертвецами","Испытание 34: В крови по грудь, мы бьёмся с мертвецами"
challenge34ZombieDesc,"Испытание: В крови по грудь, мы бьёмся с мертвецами.\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!","Испытание: В крови по грудь, мы бьёмся с мертвецами.\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!"
challenge34ZombieName,"В крови по грудь, мы бьёмся с мертвецами","В крови по грудь, мы бьёмся с мертвецами"
challenge34ZombieSubtitle,"Зачистите локацию","Зачистите локацию"
challenge34ZombieOffer,"Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!","Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они сильнее, чем обычно!"

challenge35Zombie,"Испытание 35: Не только лишь все","Испытание 35: Не только лишь все"
challenge35ZombieDesc,"Испытание: Не только лишь все.\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!","Испытание: Не только лишь все.\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!"
challenge35ZombieName,"Не только лишь все","Не только лишь все"
challenge35ZombieSubtitle,"Зачистите локацию","Зачистите локацию"
challenge35ZombieOffer,"Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!","Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!"

challenge36Zombie,"Испытание 36: Мастера решать вопросы","Испытание 36: Мастера решать вопросы"
challenge36ZombieDesc,"Испытание: Мастера решать вопросы.\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!","Испытание: Мастера решать вопросы.\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!"
challenge36ZombieName,"Мастера решать вопросы","Мастера решать вопросы"
challenge36ZombieSubtitle,"Зачистите локацию","Зачистите локацию"
challenge36ZombieOffer,"Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!","Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!"

challenge37Zombie,"Испытание 37: Зелёная вечеринка","Испытание 37: Зелёная вечеринка"
challenge37ZombieDesc,"Испытание: Зелёная вечеринка.\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!","Испытание: Зелёная вечеринка.\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!"
challenge37ZombieName,"Зелёная вечеринка","Зелёная вечеринка"
challenge37ZombieSubtitle,"Зачистите локацию","Зачистите локацию"
challenge37ZombieOffer,"Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!","Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!"

challenge38Zombie,"Испытание 38: Ребята, давайте жить дружно!","Испытание 38: Ребята, давайте жить дружно!"
challenge38ZombieDesc,"Испытание: Ребята, давайте жить дружно!\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!","Испытание: Ребята, давайте жить дружно!\n\nЗачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!"
challenge38ZombieName,"Ребята, давайте жить дружно!","Ребята, давайте жить дружно!"
challenge38ZombieSubtitle,"Зачистите локацию","Зачистите локацию"
challenge38ZombieOffer,"Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!","Зачистите локацию от врагов.\nКвестом можно поделиться.\n\nПротивников больше и они гораздо сильнее, чем обычно!"

challenge39Zombie,"Испытание 39: Не убоюсь я зла и двустволкой своей воздам ему","Испытание 39: Не убоюсь я зла и двустволкой своей воздам ему"
challenge39ZombieDesc,"Испытание: Не убоюсь я зла и двустволкой своей воздам ему.\n\nУбейте зомби-медведя с помощью двустволки.\n\nКвест одиночный.","Испытание: Не убоюсь я зла и двустволкой своей воздам ему.\n\nУбейте зомби-медведя с помощью двустволки.\n\nКвест одиночный."
challenge39ZombieName,"Не убоюсь я зла и двустволкой своей воздам ему","Не убоюсь я зла и двустволкой своей воздам ему"
challenge39ZombieSubtitle,"Найдите и убейте зомби-медведя, используя двустволку","Найдите и убейте зомби-медведя, используя двустволку"
challenge39ZombieOffer,"Убейте зомби-медведя с помощью двустволки.\nКвест одиночный.","Убейте зомби-медведя с помощью двустволки.\nКвест одиночный."
challenge39ZombieHint,"Убейте зомби-медведя с помощью двустволки.","Убейте зомби-медведя с помощью двустволки."

challenge40Zombie,"Испытание 40: Придётся побегать","Испытание 40: Придётся побегать"
challenge40ZombieDesc,"Испытание: Придётся побегать.\n\nНикаких компромиссов - соберите 10000 камней здесь и сейчас и получите взамен деньги, опыт и 5 бутылок вина.\n\nКвест одиночный.","Испытание: Придётся побегать.\n\nНикаких компромиссов - соберите 10000 камней здесь и сейчас и получите взамен деньги, опыт и 5 бутылок вина.\n\nКвест одиночный."
challenge40ZombieName,"Придётся побегать","Придётся побегать"
challenge40ZombieSubtitle,"Соберите ресурсы","Соберите ресурсы"
challenge40ZombieOffer,"Никаких компромиссов - соберите 10000 камней здесь и сейчас и получите взамен деньги, опыт и 5 бутылок вина.\n\nКвест одиночный.","Никаких компромиссов - соберите 10000 камней здесь и сейчас и получите взамен деньги, опыт и 5 бутылок вина.\n\nКвест одиночный."

challenge41Zombie,"Испытание 41: Дамы на ринге","Испытание 41: Дамы на ринге"
challenge41ZombieDesc,"[FF0000]Особое испытание [FFFFFF]: Дамы на ринге.\n\nПобедите врагов, не выходя из зоны. Рекомендуется подготовиться. Квест - одиночный. Ограничений по времени или оружию - нет.\n\nУбийство от ловушек НЕ считается.","[FF0000]Особое испытание [FFFFFF]: Дамы на ринге.\n\nПобедите врагов, не выходя из зоны. Рекомендуется подготовиться. Квест - одиночный. Ограничений по времени или оружию - нет.\n\nУбийство от ловушек НЕ считается."
challenge41ZombieName,"Дамы на ринге","Дамы на ринге"
challenge41ZombieSubtitle,"Убейте противников, не выходя из зоны","Убейте противников, не выходя из зоны"
challenge41ZombieOffer,"Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Тусовщица - [228B22]5 \n[CD7F32]Чумная санитарка - [228B22]3 \n[CD7F32]Покойница - [228B22]2","Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Тусовщица - [228B22]5 \n[CD7F32]Чумная санитарка - [228B22]3 \n[CD7F32]Покойница - [228B22]2"

challenge42Zombie,"Испытание 42: Почувствуй ритм!","Испытание 42: Почувствуй ритм!"
challenge42ZombieDesc,"[FF0000]Ultimate Challenge [FFFFFF]: Feel The Beat! Win and claim your prize. It is recommended to bring back up. This quest cannot be shared.","[FF0000]Особое испытание [FFFFFF]: Почувствуй ритм!\n\nПобедите врагов, не выходя из зоны. Рекомендуется подготовиться. Квест - одиночный. Ограничений по времени или оружию - нет.\n\nУбийство от ловушек НЕ считается."
challenge42ZombieName,"Почувствуй ритм!","Почувствуй ритм!"
challenge42ZombieSubtitle,"Убейте противников, не выходя из зоны","Убейте противников, не выходя из зоны"
challenge42ZombieOffer,"Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Лесоруб-зомби - [228B22]8 \n[CD7F32]Безумный лесоруб - [228B22]2","Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Лесоруб-зомби - [228B22]8 \n[CD7F32]Безумный лесоруб - [228B22]2"

challenge43Zombie,"Испытание 43: Сыны анархии","Испытание 43: Сыны анархии"
challenge43ZombieDesc,"[FF0000]Ultimate Challenge [FFFFFF]: The Sons of Anarchy. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared.","[FF0000]Особое испытание [FFFFFF]: Сыны анархии.\n\nПобедите врагов, не выходя из зоны. Рекомендуется подготовиться. Квест - одиночный. Ограничений по времени или оружию - нет.\n\nУбийство от ловушек НЕ считается."
challenge43ZombieName,"Сыны анархии","Сыны анархии"
challenge43ZombieSubtitle,"Убейте противников, не выходя из зоны","Убейте противников, не выходя из зоны"
challenge43ZombieOffer,"Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Байкер - [228B22]4 \n[CD7F32]Тлеющий зомби - [228B22]2 \n[CD7F32]Скейтер-зомби - [228B22]4","Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Байкер - [228B22]4 \n[CD7F32]Тлеющий зомби - [228B22]2 \n[CD7F32]Скейтер-зомби - [228B22]4"

challenge44Zombie,"Испытание 44: Не DOOMай, стреляй","Испытание 44: Не DOOMай, стреляй"
challenge44ZombieDesc,"[FF0000]Ultimate Challenge [FFFFFF]: Don't DOOM, just shoot. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared.","[FF0000]Особое испытание [FFFFFF]: Не DOOMай, стреляй.\n\nПобедите врагов, не выходя из зоны. Рекомендуется подготовиться. Квест - одиночный. Ограничений по времени или оружию - нет.\n\nУбийство от ловушек НЕ считается."
challenge44ZombieName,"Не DOOMай, стреляй","Не DOOMай, стреляй"
challenge44ZombieSubtitle,"Убейте противников, не выходя из зоны","Убейте противников, не выходя из зоны"
challenge44ZombieOffer,"Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий гнойный труп - [228B22]2 \n[CD7F32]Солдат - [228B22]6 \n[CD7F32]Дикий Том Кларк - [228B22]2","Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий гнойный труп - [228B22]2 \n[CD7F32]Солдат - [228B22]6 \n[CD7F32]Дикий Том Кларк - [228B22]2"

challenge45Zombie,"Испытание 45: Цепные псы зомби-режима","Испытание 45: Цепные псы зомби-режима"
challenge45ZombieDesc,"[FF0000]Ultimate Challenge [FFFFFF]: Chain dogs of zombie regime. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared.","[FF0000]Особое испытание [FFFFFF]: Цепные псы зомби-режима.\n\nПобедите врагов, не выходя из зоны. Рекомендуется подготовиться. Квест - одиночный. Ограничений по времени или оружию - нет.\n\nУбийство от ловушек НЕ считается."
challenge45ZombieName,"Цепные псы зомби-режима","Цепные псы зомби-режима"
challenge45ZombieSubtitle,"Убейте противников, не выходя из зоны","Убейте противников, не выходя из зоны"
challenge45ZombieOffer,"Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Зомби-собака - [228B22]4 \n[CD7F32]Дикий солдат - [228B22]3 \n[CD7F32]Зомби-стервятник - [228B22]3","Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Зомби-собака - [228B22]4 \n[CD7F32]Дикий солдат - [228B22]3 \n[CD7F32]Зомби-стервятник - [228B22]3"

challenge46Zombie,"Испытание 46: Гоните его, насмехайтесь над ним","Испытание 46: Гоните его, насмехайтесь над ним"
challenge46ZombieDesc,"[FF0000]Ultimate Challenge [FFFFFF]: Chase him away, mock him. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared.","[FF0000]Особое испытание [FFFFFF]: Гоните его, насмехайтесь над ним.\n\nПобедите врагов, не выходя из зоны. Рекомендуется подготовиться. Квест - одиночный. Ограничений по времени или оружию - нет.\n\nУбийство от ловушек НЕ считается."
challenge46ZombieName,"Гоните его, насмехайтесь над ним","Гоните его, насмехайтесь над ним"
challenge46ZombieSubtitle,"Убейте противников, не выходя из зоны","Убейте противников, не выходя из зоны"
challenge46ZombieOffer,"Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий коп - [228B22]2 \n[CD7F32]Зомби-собака - [228B22]6 \n[CD7F32]Безумная тусовщица - [228B22]2","Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий коп - [228B22]2 \n[CD7F32]Зомби-собака - [228B22]6 \n[CD7F32]Безумная тусовщица - [228B22]2"

challenge47Zombie,"Испытание 47: О-МЕДВЕД-ительно!","Испытание 47: О-МЕДВЕД-ительно!"
challenge47ZombieDesc,"[FF0000]Ultimate Challenge [FFFFFF]: Un-BEAR-able! Win and claim your prize. It is recommended to bring back up. This quest cannot be shared.","[FF0000]Особое испытание [FFFFFF]: О-МЕДВЕД-ительно!\n\nПобедите врагов, не выходя из зоны. Рекомендуется подготовиться. Квест - одиночный. Ограничений по времени или оружию - нет.\n\nУбийство от ловушек НЕ считается."
challenge47ZombieName,"О-МЕДВЕД-ительно!","О-МЕДВЕД-ительно!"
challenge47ZombieSubtitle,"Убейте противников, не выходя из зоны","Убейте противников, не выходя из зоны"
challenge47ZombieOffer,"Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Медведь-зомби - [228B22]4 \n[CD7F32]Безумный лесоруб - [228B22]8","Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Медведь-зомби - [228B22]4 \n[CD7F32]Безумный лесоруб - [228B22]8"

challenge48Zombie,"Испытание 48: Братец Упырь и его друзья","Испытание 48: Братец Упырь и его друзья"
challenge48ZombieDesc,"[FF0000]Ultimate Challenge [FFFFFF]: Brother Wight and his friends. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared.","[FF0000]Особое испытание [FFFFFF]: Братец Упырь и его друзья.\n\nПобедите врагов, не выходя из зоны. Рекомендуется подготовиться. Квест - одиночный. Ограничений по времени или оружию - нет.\n\nУбийство от ловушек НЕ считается."
challenge48ZombieName,"Братец Упырь и его друзья","Братец Упырь и его друзья"
challenge48ZombieSubtitle,"Убейте противников, не выходя из зоны","Убейте противников, не выходя из зоны"
challenge48ZombieOffer,"Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Облученный упырь - [228B22]4 \n[CD7F32]Облучённая толстуха - [228B22]6","Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Облученный упырь - [228B22]4 \n[CD7F32]Облучённая толстуха - [228B22]6"

challenge49Zombie,"Испытание 49: Танцуют солнце и луна","Испытание 49: Танцуют солнце и луна"
challenge49ZombieDesc,"[FF0000]Ultimate Challenge [FFFFFF]: Dance of the Sun and Moon. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared.","[FF0000]Особое испытание [FFFFFF]: Танцуют солнце и луна.\n\nПобедите врагов, не выходя из зоны. Рекомендуется подготовиться. Квест - одиночный. Ограничений по времени или оружию - нет.\n\nУбийство от ловушек НЕ считается."
challenge49ZombieName,"Танцуют солнце и луна","Танцуют солнце и луна"
challenge49ZombieSubtitle,"Убейте противников, не выходя из зоны","Убейте противников, не выходя из зоны"
challenge49ZombieOffer,"Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Облученный тлеющий зомби - [228B22]4 \n[CD7F32]Облученная тусовщица - [228B22]6","Убейте противников, не выходя из зоны.\nОграничений по времени или оружию - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Облученный тлеющий зомби - [228B22]4 \n[CD7F32]Облученная тусовщица - [228B22]6"

challenge50Zombie,"Испытание 50: Куротык","Испытание 50: Куротык"
challenge50ZombieDesc,"Challenge: Chicken Poke.\n\nSend 15 chickens into the soup using a nail gun.\n\nThis quest cannot be shared.","Испытание: Куротык.\n\nОтправьте 15 кур в суп, используя гвоздомёт.\n\nКвест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge50ZombieName,"Куротык","Куротык"
challenge50ZombieSubtitle,"Найдите и убейте кур, используя гвоздомёт","Найдите и убейте кур, используя гвоздомёт"
challenge50ZombieOffer,"Отправьте 15 кур в суп, используя гвоздомёт.\nОграничений по времени или локации - нет.\nКвест одиночный."
challenge50ZombieHint,"Отправьте 15 кур в суп, используя гвоздомёт.","Отправьте 15 кур в суп, используя гвоздомёт."
